epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,540.982,0.74513,1.47625,0.79257,0.79963,0.84045,0.9096,0.75059,0.67721,0.91738,0.77934,0.000106344,0.000106344,0.000106344
43,552.535,0.75906,1.48481,0.79285,0.76038,0.8481,0.91845,0.75686,0.67053,0.90268,0.78273,0.000104572,0.000104572,0.000104572
44,564.188,0.75323,1.38582,0.78924,0.81646,0.85086,0.92201,0.76325,0.66787,0.87077,0.7795,0.0001028,0.0001028,0.0001028
45,577.432,0.76561,1.36371,0.7901,0.79643,0.8855,0.92831,0.76679,0.66317,0.83904,0.77947,0.000101028,0.000101028,0.000101028
46,590.704,0.72957,1.33209,0.78797,0.81501,0.86937,0.93323,0.76875,0.67641,0.843,0.78079,9.92555e-05,9.92555e-05,9.92555e-05
47,601.503,0.73056,1.33061,0.78822,0.85771,0.89394,0.94282,0.78346,0.66963,0.79061,0.77894,9.74834e-05,9.74834e-05,9.74834e-05
48,614.425,0.74096,1.28768,0.78866,0.8909,0.89465,0.94583,0.78392,0.67097,0.78438,0.78086,9.57113e-05,9.57113e-05,9.57113e-05
49,627.075,0.73732,1.28515,0.79009,0.85874,0.89955,0.94897,0.78631,0.67197,0.76887,0.78144,9.39392e-05,9.39392e-05,9.39392e-05
50,639.794,0.7254,1.23511,0.79149,0.84438,0.90133,0.95394,0.78644,0.67878,0.77099,0.77931,9.21671e-05,9.21671e-05,9.21671e-05
51,650.28,0.743,1.25124,0.79003,0.8422,0.89995,0.95065,0.78184,0.68385,0.75631,0.78117,9.0395e-05,9.0395e-05,9.0395e-05
52,662.611,0.72361,1.19982,0.78621,0.90484,0.93194,0.96014,0.78834,0.69369,0.72657,0.77734,8.86229e-05,8.86229e-05,8.86229e-05
53,675.812,0.72845,1.19382,0.79046,0.88408,0.90871,0.95894,0.79226,0.67038,0.72396,0.77993,8.68508e-05,8.68508e-05,8.68508e-05
54,688.159,0.72557,1.18709,0.78447,0.8957,0.9385,0.96406,0.79959,0.66505,0.69328,0.77753,8.50787e-05,8.50787e-05,8.50787e-05
55,699.29,0.7374,1.15121,0.78798,0.90717,0.93164,0.9663,0.80166,0.67061,0.67657,0.77894,8.33066e-05,8.33066e-05,8.33066e-05
56,715.198,0.73142,1.14129,0.78976,0.91857,0.92444,0.97152,0.80881,0.65914,0.6608,0.77818,8.15345e-05,8.15345e-05,8.15345e-05
57,727.246,0.71153,1.0733,0.79019,0.89837,0.93074,0.97187,0.80776,0.66048,0.64893,0.7788,7.97624e-05,7.97624e-05,7.97624e-05
58,737.97,0.70769,1.08994,0.78808,0.8942,0.95714,0.97616,0.80496,0.6765,0.65411,0.77788,7.79903e-05,7.79903e-05,7.79903e-05
59,750.986,0.71879,1.08408,0.79164,0.9412,0.95024,0.98445,0.81581,0.65544,0.62805,0.77806,7.62182e-05,7.62182e-05,7.62182e-05
60,764.429,0.72439,1.08962,0.79438,0.91533,0.95879,0.98145,0.81283,0.65415,0.62189,0.77632,7.44461e-05,7.44461e-05,7.44461e-05
61,775.161,0.71004,1.04962,0.79291,0.9272,0.95435,0.98156,0.81335,0.65015,0.61441,0.77715,7.2674e-05,7.2674e-05,7.2674e-05
62,787.855,0.72129,1.06238,0.79155,0.93124,0.96105,0.98409,0.81257,0.66045,0.61623,0.77817,7.09019e-05,7.09019e-05,7.09019e-05
63,800.743,0.72636,1.05454,0.79078,0.94768,0.9534,0.98682,0.8184,0.66144,0.59371,0.77764,6.91298e-05,6.91298e-05,6.91298e-05
64,813.297,0.71671,1.03832,0.78727,0.93749,0.96409,0.98486,0.81983,0.63817,0.59398,0.77704,6.73577e-05,6.73577e-05,6.73577e-05
65,823.925,0.7016,1.01277,0.78962,0.94052,0.96343,0.98637,0.82343,0.64422,0.58537,0.77741,6.55856e-05,6.55856e-05,6.55856e-05
66,836.781,0.69727,1.00969,0.79317,0.94454,0.96139,0.98632,0.81795,0.66115,0.58358,0.7777,6.38135e-05,6.38135e-05,6.38135e-05
67,849.502,0.70258,1.00727,0.78491,0.94391,0.96311,0.98768,0.82151,0.64804,0.5792,0.77769,6.20414e-05,6.20414e-05,6.20414e-05
68,860.976,0.69432,0.96588,0.79373,0.94087,0.96781,0.98871,0.82427,0.6364,0.56675,0.77582,6.02693e-05,6.02693e-05,6.02693e-05
69,871.796,0.68755,0.97821,0.78425,0.94467,0.96248,0.98659,0.82486,0.63455,0.57538,0.77673,5.84972e-05,5.84972e-05,5.84972e-05
70,884.336,0.69704,1.00145,0.78922,0.94696,0.9744,0.98966,0.82669,0.64621,0.5574,0.77818,5.67251e-05,5.67251e-05,5.67251e-05
